"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2000","35","","Georgia Station","13-231-9991","AQS"
"01/02/2000","31","","Georgia Station","13-231-9991","AQS"
"01/03/2000","39","","Georgia Station","13-231-9991","AQS"
"01/04/2000","38","","Georgia Station","13-231-9991","AQS"
"01/05/2000","21","","Georgia Station","13-231-9991","AQS"
"01/06/2000","25","","Georgia Station","13-231-9991","AQS"
"01/07/2000","31","","Georgia Station","13-231-9991","AQS"
"01/08/2000","24","","Georgia Station","13-231-9991","AQS"
"01/09/2000","26","","Georgia Station","13-231-9991","AQS"
"01/10/2000","39","","Georgia Station","13-231-9991","AQS"
"01/11/2000","39","","Georgia Station","13-231-9991","AQS"
"01/12/2000","43","","Georgia Station","13-231-9991","AQS"
"01/13/2000","34","","Georgia Station","13-231-9991","AQS"
"01/14/2000","21","","Georgia Station","13-231-9991","AQS"
"01/15/2000","36","","Georgia Station","13-231-9991","AQS"
"01/16/2000","39","","Georgia Station","13-231-9991","AQS"
"01/17/2000","22","","Georgia Station","13-231-9991","AQS"
"01/18/2000","26","","Georgia Station","13-231-9991","AQS"
"01/19/2000","21","","Georgia Station","13-231-9991","AQS"
"01/20/2000","29","","Georgia Station","13-231-9991","AQS"
"01/21/2000","31","","Georgia Station","13-231-9991","AQS"
"01/22/2000","17","","Georgia Station","13-231-9991","AQS"
"01/23/2000","13","","Georgia Station","13-231-9991","AQS"
"01/24/2000","17","","Georgia Station","13-231-9991","AQS"
"01/25/2000","28","","Georgia Station","13-231-9991","AQS"
"01/26/2000","29","","Georgia Station","13-231-9991","AQS"
"01/27/2000","25","","Georgia Station","13-231-9991","AQS"
"01/28/2000","26","","Georgia Station","13-231-9991","AQS"
"01/29/2000","30","","Georgia Station","13-231-9991","AQS"
"01/31/2000","33","","Georgia Station","13-231-9991","AQS"
"02/01/2000","44","","Georgia Station","13-231-9991","AQS"
"02/02/2000","31","","Georgia Station","13-231-9991","AQS"
"02/03/2000","41","","Georgia Station","13-231-9991","AQS"
"02/04/2000","36","","Georgia Station","13-231-9991","AQS"
"02/05/2000","29","","Georgia Station","13-231-9991","AQS"
"02/06/2000","37","","Georgia Station","13-231-9991","AQS"
"02/07/2000","43","","Georgia Station","13-231-9991","AQS"
"02/08/2000","44","","Georgia Station","13-231-9991","AQS"
"02/09/2000","77","","Georgia Station","13-231-9991","AQS"
"02/10/2000","101","","Georgia Station","13-231-9991","AQS"
"02/11/2000","50","","Georgia Station","13-231-9991","AQS"
"02/12/2000","43","","Georgia Station","13-231-9991","AQS"
"02/13/2000","28","","Georgia Station","13-231-9991","AQS"
"02/14/2000","46","","Georgia Station","13-231-9991","AQS"
"02/15/2000","40","","Georgia Station","13-231-9991","AQS"
"02/16/2000","40","","Georgia Station","13-231-9991","AQS"
"02/17/2000","33","","Georgia Station","13-231-9991","AQS"
"02/18/2000","44","","Georgia Station","13-231-9991","AQS"
"02/19/2000","43","","Georgia Station","13-231-9991","AQS"
"02/20/2000","39","","Georgia Station","13-231-9991","AQS"
"02/21/2000","43","","Georgia Station","13-231-9991","AQS"
"02/22/2000","42","","Georgia Station","13-231-9991","AQS"
"02/23/2000","50","","Georgia Station","13-231-9991","AQS"
"02/24/2000","44","","Georgia Station","13-231-9991","AQS"
"02/25/2000","46","","Georgia Station","13-231-9991","AQS"
"02/27/2000","39","","Georgia Station","13-231-9991","AQS"
"02/28/2000","31","","Georgia Station","13-231-9991","AQS"
"02/29/2000","77","","Georgia Station","13-231-9991","AQS"
"03/01/2000","44","","Dawsonville","13-085-0001","AQS"
"03/02/2000","44","","Dawsonville","13-085-0001","AQS"
"03/03/2000","61","","Georgia Station","13-231-9991","AQS"
"03/04/2000","44","","Dawsonville","13-085-0001","AQS"
"03/05/2000","54","","Dawsonville","13-085-0001","AQS"
"03/06/2000","71","","Georgia Station","13-231-9991","AQS"
"03/07/2000","105","","DOT STORAGE FACILITY","13-113-0001","AQS"
"03/08/2000","150","","Dawsonville","13-085-0001","AQS"
"03/09/2000","44","","Georgia Station","13-231-9991","AQS"
"03/10/2000","31","","DOT STORAGE FACILITY","13-113-0001","AQS"
"03/11/2000","35","","Georgia Station","13-231-9991","AQS"
"03/12/2000","40","","Douglasville","13-097-0004","AQS"
"03/13/2000","41","","McDonough","13-151-0002","AQS"
"03/14/2000","51","","Georgia Station","13-231-9991","AQS"
"03/15/2000","64","","DOT STORAGE FACILITY","13-113-0001","AQS"
"03/16/2000","38","","Dawsonville","13-085-0001","AQS"
"03/17/2000","38","","Georgia Station","13-231-9991","AQS"
"03/18/2000","36","","Dawsonville","13-085-0001","AQS"
"03/19/2000","40","","Georgia Station","13-231-9991","AQS"
"03/20/2000","44","","Georgia Station","13-231-9991","AQS"
"03/21/2000","47","","Yorkville, King Farm","13-223-0003","AQS"
"03/22/2000","67","","Georgia Station","13-231-9991","AQS"
